bank_txn_id,utr,date,credit_inr,debit_inr,balance_inr,narration
bank_tx_821,UTR_UNAVAILABLE,2026-08-23,15700.0,0.0,6874987.66,UPI/9871239081/DIRECT-TRANSFER/MISC-NO-REF
bank_tx_804,RBIP20260831931511,2026-08-13,126539.49,0.0,5611954.79,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260831931511-SETTLEMENT
bank_tx_824,RBIP20260823419256,2026-08-13,9178.16,0.0,6965452.57,NEFT CR-RAZORPAY-RBIP20260823419256
bank_tx_825,RBIP20260819233013,2026-08-17,51990.71,0.0,7017443.28,NEFT CR-RAZORPAY-RBIP20260819233013
bank_tx_803,RBIP20260859684848,2026-08-12,255670.34,0.0,5485415.3,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260859684848-SETTLEMENT
bank_tx_823,RBIP20260850264926,2026-08-28,41497.0,0.0,6956274.41,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260850264926-DELAYED
bank_tx_820,RBIP20260826090908,2026-08-23,-6310.04,0.0,6859287.66,NEFT CR-RAZORPAY-PARTIAL-RBIP20260826090908
bank_tx_817,RBIP20260864547971,2026-08-17,10740.4,0.0,6780602.08,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260864547971-SETTLEMENT
bank_tx_819,RBIP20260888406989,2026-08-18,32807.04,0.0,6865597.7,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260888406989-SETTLEMENT
bank_tx_816,RBIP20260883863413,2026-08-17,9031.7,0.0,6769861.68,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260883863413-SETTLEMENT
bank_tx_806,RBIP20260894214382,2026-08-14,145824.36,0.0,5880268.53,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260894214382-SETTLEMENT
bank_tx_805,RBIP20260886125617,2026-08-13,122489.38,0.0,5734444.17,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260886125617-SETTLEMENT
bank_tx_818,RBIP20260839219319,2026-08-17,52188.58,0.0,6832790.66,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260839219319-SETTLEMENT
bank_tx_802,RBIP20260815831819,2026-08-12,47549.7,0.0,5229744.96,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260815831819-SETTLEMENT
bank_tx_814,RBIP20260855540424,2026-08-17,14498.56,0.0,6705712.2,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260855540424-SETTLEMENT
bank_tx_809,RBIP20260817774584,2026-08-15,179852.88,0.0,6262087.8,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260817774584-SETTLEMENT
bank_tx_811,RBIP20260880823176,2026-08-16,56338.28,0.0,6368417.76,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260880823176-SETTLEMENT
bank_tx_813,RBIP20260867854710,2026-08-16,120535.6,0.0,6691213.64,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260867854710-SETTLEMENT
bank_tx_826,RBIP20260882909480,2026-08-28,30366.04,0.0,7047809.32,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260882909480-DELAYED
bank_tx_801,RBIP20260855667651,2026-08-12,182195.26,0.0,5182195.26,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260855667651-SETTLEMENT
bank_tx_822,RBIP20260852169044,2026-08-16,39789.75,0.0,6914777.41,NEFT CR-RAZORPAY INTL-RBIP20260852169044
bank_tx_827,RBIP20260884437458,2026-08-13,52823.24,0.0,7100632.56,NEFT CR-RAZORPAY-RBIP20260884437458-DISCREPANCY
bank_tx_810,RBIP20260881498611,2026-08-15,49991.68,0.0,6312079.48,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260881498611-SETTLEMENT
bank_tx_812,RBIP20260819528530,2026-08-16,202260.28,0.0,6570678.04,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260819528530-SETTLEMENT
bank_tx_815,RBIP20260866623995,2026-08-17,55117.78,0.0,6760829.98,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260866623995-SETTLEMENT
bank_tx_807,RBIP20260861220073,2026-08-14,61025.0,0.0,5941293.53,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260861220073-SETTLEMENT
bank_tx_808,RBIP20260845351479,2026-08-14,140941.39,0.0,6082234.92,NEFT CR-RAZORPAY SOFTWARE PVT LTD-RBIP20260845351479-SETTLEMENT
