settlement_id,utr,settlement_date,payment_ids_count,payment_ids,gross_amount_inr,fee_amount_inr,tax_amount_inr,net_amount_inr,on_hold_amount_inr,status,narration
setl_RZP_519,RBIP20260888406989,2026-08-18,1,pay_live_1051853,33600.0,672.0,120.96,32807.04,0.0,SETTLED,Razorpay Payout Batch setl_RZP_519 (1 txns) UTR: RBIP20260888406989
setl_RZP_502,RBIP20260815831819,2026-08-12,2,pay_live_1006320;pay_live_1007199,48699.0,973.98,175.32,47549.7,0.0,SETTLED,Razorpay Payout Batch setl_RZP_502 (2 txns) UTR: RBIP20260815831819
setl_RZP_509,RBIP20260817774584,2026-08-15,4,pay_live_1028282;pay_live_1029754;pay_live_1030265;pay_live_1031119,184200.0,3684.0,663.12,179852.88,0.0,SETTLED,Razorpay Payout Batch setl_RZP_509 (4 txns) UTR: RBIP20260817774584
setl_RZP_510,RBIP20260881498611,2026-08-15,1,pay_live_1032180,51200.0,1024.0,184.32,49991.68,0.0,SETTLED,Razorpay Payout Batch setl_RZP_510 (1 txns) UTR: RBIP20260881498611
setl_RZP_515,RBIP20260866623995,2026-08-17,1,pay_live_1045296,56450.0,1129.0,203.22,55117.78,0.0,SETTLED,Razorpay Payout Batch setl_RZP_515 (1 txns) UTR: RBIP20260866623995
setl_RZP_513,RBIP20260867854710,2026-08-16,5,pay_live_1038160;pay_live_1039438;pay_live_1040785;pay_live_1041840;pay_live_1042516,123449.0,2468.98,444.42,120535.6,0.0,SETTLED,Razorpay Payout Batch setl_RZP_513 (5 txns) UTR: RBIP20260867854710
setl_RZP_511,RBIP20260880823176,2026-08-16,1,pay_live_1033775,57700.0,1154.0,207.72,56338.28,0.0,SETTLED,Razorpay Payout Batch setl_RZP_511 (1 txns) UTR: RBIP20260880823176
setl_RZP_516,RBIP20260883863413,2026-08-17,1,pay_live_1046573,9250.0,185.0,33.3,9031.7,0.0,SETTLED,Razorpay Payout Batch setl_RZP_516 (1 txns) UTR: RBIP20260883863413
setl_RZP_521,RBIP20260852169044,2026-08-16,1,pay_anom_1055773,41250.0,1237.5,222.75,39789.75,0.0,SETTLED,Intl Settlement FX Adjusted pay_anom_1055773
setl_RZP_525,RBIP20260882909480,2026-08-28,1,pay_anom_1059350,31100.0,622.0,111.96,30366.04,0.0,SETTLED,Delayed Settlement for pay_anom_1059350 UTR: RBIP20260882909480
setl_RZP_507,RBIP20260861220073,2026-08-14,1,pay_live_1023796,62500.0,1250.0,225.0,61025.0,0.0,SETTLED,Razorpay Payout Batch setl_RZP_507 (1 txns) UTR: RBIP20260861220073
setl_RZP_517,RBIP20260864547971,2026-08-17,1,pay_live_1047767,11000.0,220.0,39.6,10740.4,0.0,SETTLED,Razorpay Payout Batch setl_RZP_517 (1 txns) UTR: RBIP20260864547971
setl_RZP_524,RBIP20260819233013,2026-08-17,1,pay_anom_1058175,53800.0,1533.3,275.99,51990.71,0.0,SETTLED,Settlement with elevated MDR fee for pay_anom_1058175
setl_RZP_503,RBIP20260859684848,2026-08-12,5,pay_live_1008649;pay_live_1009400;pay_live_1010171;pay_live_1011396;pay_live_1012384,261850.0,5237.0,942.66,255670.34,0.0,SETTLED,Razorpay Payout Batch setl_RZP_503 (5 txns) UTR: RBIP20260859684848
